Periode;Suhu
1;26.26
2;26.89
3;26.81
4;27.17
5;27.08
6;26.3
7;26.05
8;26.11
9;26.45
10;26.12
11;26.09
12;25.41
13;25.55
14;25.91
15;25.79
16;26.31
17;26.53
18;26.33
19;26.27
20;27.08
21;27.58
22;27.4
23;27.46
24;27.04
25;26.09
26;26.36
27;26.19
28;26.26
29;26.9
30;26.45
31;26.75
32;27.44
33;27.43
34;27.42
35;27.44
36;26.51
37;25.99
38;26.16
39;26.83
40;26.58
41;26.71
42;26.39
43;25.77
44;25.98
45;26.78
46;27.04
47;26.29
48;26.15
49;25.8
50;25.97
51;26.65
52;26.55
53;26.95
54;26.58
55;26.39
56;26.64
57;27.7
58;28.37
59;27.29
60;26.21
61;26
62;26.15
63;26.41
64;26.55
65;26.59
66;26.24
67;26.48
68;27.25
69;27.73
70;28.49
71;28.74
72;27.21
73;27.26
74;26.83
75;27.3
76;27.16
77;27.23
78;26.73
79;26.47
80;26.54
81;26.74
82;26.25
83;26.65
84;26.33
85;26.18
86;25.96
87;26.38
88;26.4
89;26.83
90;26.38
91;26.15
92;26.59
93;27.74
94;27.39
95;27.08
96;26.41
97;26.15
98;26.19
99;26.4
100;26.79
101;26.79
102;26.44
103;25.76
104;26.69
105;27.3
106;28.15
107;27.25
108;26.94
109;26.85
110;26.87
111;26.72
112;27.17
113;26.95
114;26.23
115;26.04
116;26.76
117;27.87
118;28.3
119;28.48
120;28.26
121;27.01
122;26.91
123;27
124;27.18
125;27.12
126;26.52
127;26.06
128;26.2
129;26.49
130;26.53
131;27
132;26.23
133;26.19
134;26.3
135;26.39
136;26.55
137;27.01
138;26.4
139;26.29
140;26.88
141;26.78
142;27.15
143;26.43
144;26.54
145;26.3
146;26.27
147;26.59
148;26.7
149;26.76
150;26.01
151;26.38
152;26.44
153;26.38
154;26.3
155;26.35
156;26.32
